;;;;;;
Entretien, exploitation et maintenance des installations techniques des bâtiments;;;;;;
CPS E2MT²;;;;;;
Annexe 4 : Bordereau des Prix Unitaires, Scénario de Commande et Minimum Garanti;;;;;;
LOT 4.1 - Mission D - BPU Prestations connexes - Rubrique 1;;;;;;
;;;;;;
"Attention, les prestations ci-dessous ne sont utilisables que dans les niveaux de maitenance non inclus au contrat ou pour des travaux neufs (si la main d'oeuvre et la franchise doivent être déduites, alors il faut recourir aux onglets 2 et 3).
Les prestations listées ci-dessous peuvent être commandées par SNCF sans qu'obligatoirement les missions correspondantes en prestations récurrentes soient actives au contrat.";;;;;;
Code PU;Prestation;;Détail Prestation;;Prix en €HT;Unité
SSI-01;Remplacement de 1 à 10 détecteurs de fumée (ioniques et/ou optiques) avec socle (U = prix pour 1 détecteur);;"Respect règles APSAD.
Hors coûts de location de moyens d'accès spécifiques.";;260,40;"Forfait pièces et main d'œuvre
par détecteur"
SSI-02;Remplacement de 11 à 20 détecteurs de fumée (ioniques et/ou optiques) avec socle (U = prix pour 1 détecteur);;;;253,55;
Clos et couvert;;;;;;
CC-01;Nettoyage d'un chéneau;;Y compris des crapaudines;;6,82;"ml
(mètre linéaire)"
CC-02;Réfection de l'étanchéité d'une toiture terrasse;;"Dépose et évacuation de l'étanchéité percée
Fourniture et pose d'un complexe d'étanchéité y compris soudure";;79,55;"m²
(fournitures et main d'œuvre)"
CC-03;Révision et entretien de l'étanchéité d'une toiture terrasse;;"Contrôle visuel de l'état du complexe d'étanchéité, désherbage, démoussage, nettoyage.
Inspection de tous les ouvrages complémentaires et points singuliers tels que les souches, édicules, lanterneaux, ventilations, etc.
Réfection localisée, si besoin.
Vérification et nettoyage des chéneaux, gouttières, entrées d'eaux pluviales.";;17,05;"m²
(fournitures et main d'œuvre)"
CC-04;Démoussage d'une toiture en tuiles;;Fourniture et pulvérisation d'un produit de démoussage type DALEP 2100 ou qualité technique équivalente;;6,82;"m²
(fournitures et main d'œuvre)"
CC-05;Fourniture et pose d'une ligne de vie en toiture;;Conforme à la réglementation et aux préconisations du fabricant, compris toutes sujétions.;;244,32;"ml
(mètre linéaire)"
CC-06;Fourniture et pose d'un crochet d'ancrage;;Conforme à la réglementation et aux préconisations du fabricant, compris toutes sujétions.;;122,73;"Unité
(fournitures et main d'œuvre)"
CC-07;Fourniture et pose d'une échelle à crinoline pour accès toiture;;Conforme à la réglementation avec panneau de condamnation et cadenas ou équivalent empêchant l'accès à toute personne non autorisée, compris toutes sujétions.;;669,32;"ml
(fournitures et main d'œuvre)"
CC-08;Remplacement d'un store extérieur screen  avec manivelle et cordelette de guidage;;"Dépose et évacuation du store hors service.
Fourniture et pose d'un store screen extérieur identique à l'existant ou qualité technique équivalente d'une hauteur max de 2,5 ml à commande manuelle par manivelle y compris cordelette de guidage si nécessaire.";;298,86;"Unité
(fournitures et main d'œuvre)"
Electricité courants forts;;;;;;
CFO-01;Remplacement d'une prise de courant (en saillie ou encastrée);;"Dépose et évacuation de l'appareillage défaillant.
Fourniture et pose d'un appareillage identique à l'existant de marque LEGRAND ou équivalent.
Essai et contrôle de bon fonctionnement.";;61,56;Forfait pièces et main d'œuvre
CFO-02;Remplacement d'un arrêt d'urgence (bouton coup de poing);;;;147,48;
CFO-03;Remplacement d'un interrupteur (en saillie ou encastré);;;;60,30;
